
Host                                            Status       Expires      Days
aotrauma.desire2learn.com:443                   Valid        Jul 23 2013  267                                
aospine.desire2learn.com:443                    Valid        Jul 23 2013  267                                
aocmf.desire2learn.com:443                      Valid        Jul 23 2013  267                                
aovet.desire2learn.com:443                      Valid        Jul 23 2013  267                                
desk.desire2learn.com:443                       Valid        Sep 7 2013   313                                
psa.desire2learn.com:443                        Expired      Feb 2 2011   -635                               
aap.desire2learn.com:443                        Expired      Jun 22 2012  -129                               
aimetis.desire2learn.com:443                    Valid        Mar 30 2014  517                                
bwcns-training.desire2learn.com:443             Valid        Jul 23 2013  267                                
literaryliving.desire2learn.com:443             Valid        Jul 23 2013  267                                
globalearning.desire2learn.com:443              Valid        Jul 23 2013  267                                
iccs-lms.desire2learn.com:443                   Valid        Jul 23 2013  267                                
imca.desire2learn.com:443                       Valid        Jul 23 2013  267                                
mtec.desire2learn.com:443                       Valid        Jul 23 2013  267                                
mcnealandwhite.desire2learn.com:443             Valid        Jul 23 2013  267                                
ontariolearn.desire2learn.com:443               Valid        Jul 23 2013  267                                
pgcbasketball.desire2learn.com:443              Valid        Jul 23 2013  267                                
theladders.desire2learn.com:443                 Valid        Jul 23 2013  267                                
ecitytraining.desire2learn.com:443              Valid        Dec 1 2014   763                                
accessibilityexperts.desire2learn.com:443       Valid        Jul 23 2013  267                                
getinteractive.desire2learn.com:443             Valid        Apr 30 2013  183                                
criedunet.desire2learn.com:443                  Valid        Jul 23 2013  267                                
academy.desire2learn.com:443                    Valid        Jul 23 2013  267                                
community.desire2learn.com:443                  Valid        Jul 23 2013  267                                
ntecpd.desire2learn.com:443                     Valid        Jul 23 2013  267                                
pmh.desire2learn.com:443                        Valid        Jul 23 2013  267                                
ocdsb.desire2learn.com:443                      Valid        Jul 23 2013  267                                
ecc.desire2learn.com:443                        Valid        Jul 23 2013  267                                
fcfrd.desire2learn.com:443                      Valid        Jul 23 2013  267                                
fusion.desire2learn.com:443                     Valid        Jul 23 2013  267                                
fvcc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
cr.ga.desire2learn.com:443                      Valid        Jul 23 2013  267                                
students.ga.desire2learn.com:443                Valid        Jul 23 2013  267                                
presa.ga.desire2learn.com:443                   Valid        Jul 23 2013  267                                
educators.ga.desire2learn.com:443               Valid        Jul 23 2013  267                                
wilkes.desire2learn.com:443                     Valid        Apr 3 2013   156                                
mghinstitute.desire2learn.com:443               Valid        Jul 23 2013  267                                
monmouth.desire2learn.com:443                   Valid        Jul 23 2013  267                                
sp.desire2learn.com:443                         Valid        Jul 23 2013  267                                
iste.desire2learn.com:443                       Valid        Jul 23 2013  267                                
lauriermba.desire2learn.com:443                 Valid        Jul 23 2013  267                                
lsco.desire2learn.com:443                       Valid        Jul 23 2013  267                                
maryville.desire2learn.com:443                  Valid        Apr 30 2013  183                                
mohawk.desire2learn.com:443                     Valid        Jul 21 2015  995                                
mrhsd.desire2learn.com:443                      Valid        Jul 23 2013  267                                
