
Host                                            Status       Expires      Days
aovet.desire2learn.com:443                      Valid        Jul 23 2013  242                                
desk.desire2learn.com:443                       Valid        Sep 7 2013   288                                
psa.desire2learn.com:443                        Expired      Feb 2 2011   -660                               
aap.desire2learn.com:443                        Expired      Jun 22 2012  -154                               
aimetis.desire2learn.com:443                    Valid        Mar 30 2014  492                                
bwcns-training.desire2learn.com:443             Valid        Jul 23 2013  242                                
literaryliving.desire2learn.com:443             Valid        Jul 23 2013  242                                
globalearning.desire2learn.com:443              Valid        Jul 23 2013  242                                
iccs-lms.desire2learn.com:443                   Valid        Jul 23 2013  242                                
imca.desire2learn.com:443                       Valid        Jul 23 2013  242                                
mtec.desire2learn.com:443                       Valid        Jul 23 2013  242                                
mcnealandwhite.desire2learn.com:443             Valid        Jul 23 2013  242                                
ontariolearn.desire2learn.com:443               Valid        Jul 23 2013  242                                
pgcbasketball.desire2learn.com:443              Valid        Jul 23 2013  242                                
theladders.desire2learn.com:443                 Valid        Jul 23 2013  242                                
ecitytraining.desire2learn.com:443              Valid        Dec 1 2014   738                                
accessibilityexperts.desire2learn.com:443       Valid        Jul 23 2013  242                                
getinteractive.desire2learn.com:443             Valid        Apr 30 2013  158                                
criedunet.desire2learn.com:443                  Valid        Jul 23 2013  242                                
academy.desire2learn.com:443                    Valid        Jul 23 2013  242                                
community.desire2learn.com:443                  Valid        Jul 23 2013  242                                
ntecpd.desire2learn.com:443                     Valid        Jul 23 2013  242                                
pmh.desire2learn.com:443                        Valid        Jul 23 2013  242                                
ocdsb.desire2learn.com:443                      Valid        Jul 23 2013  242                                
ecc.desire2learn.com:443                        Valid        Jul 23 2013  242                                
fcfrd.desire2learn.com:443                      Valid        Jul 23 2013  242                                
fusion.desire2learn.com:443                     Valid        Jul 23 2013  242                                
fvcc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
cr.ga.desire2learn.com:443                      Valid        Jul 23 2013  242                                
students.ga.desire2learn.com:443                Valid        Jul 23 2013  242                                
presa.ga.desire2learn.com:443                   Valid        Jul 23 2013  242                                
educators.ga.desire2learn.com:443               Valid        Jul 23 2013  242                                
wilkes.desire2learn.com:443                     Valid        Apr 3 2013   131                                
